year,Base case diesel consumed,"Ouzinkie (unnamed stream, site #1) -- unnamed creek, 1","Ouzinkie (unnamed stream, site #2) -- unnamed creek 2"
2021,48095.9806328,0.0,2984.43395248
2022,48019.2725297,0.0,2907.7258494
2023,48019.2725297,0.0,2907.7258494
2024,47942.5644266,0.0,2831.01774631
2025,47789.1482204,0.0,2677.60154015
2026,47789.1482204,0.0,2677.60154015
2027,47635.7320143,0.0,2524.18533398
2028,47559.0239112,0.0,2447.4772309
2029,47559.0239112,0.0,2447.4772309
2030,47482.3158081,0.0,2370.76912782
2031,47405.607705,0.0,2294.06102473
2032,47252.1914989,0.0,2140.64481857
2033,47022.0671896,0.0,1910.52050932
2034,46791.9428804,0.0,1680.39620007
2035,46561.8185711,0.0,1450.27189083
2036,46331.6942619,0.0,1220.14758158
2037,46178.2780557,0.0,1066.73137541
2038,46024.8618495,0.0,913.315169248
2039,45794.7375403,0.0,683.190860001
2040,45564.613231,0.0,453.066550753
2041,45257.7808187,0.0,146.234138423
2042,45027.6565095,0.0,0.0
2043,44797.5322002,0.0,0.0
2044,44644.1159941,0.0,0.0
2045,44337.2835817,0.0,0.0
2046,44107.1592725,0.0,0.0
2047,43877.0349632,0.0,0.0
2048,43646.910654,0.0,0.0
2049,43416.7863447,0.0,0.0
2050,43109.9539324,0.0,0.0
2051,43109.9539324,0.0,0.0
2052,43109.9539324,0.0,0.0
2053,43109.9539324,0.0,0.0
2054,43109.9539324,0.0,0.0
2055,43109.9539324,0.0,0.0
2056,43109.9539324,0.0,0.0
2057,43109.9539324,0.0,0.0
2058,43109.9539324,0.0,0.0
2059,43109.9539324,0.0,0.0
2060,43109.9539324,0.0,0.0
2061,43109.9539324,0.0,0.0
2062,43109.9539324,0.0,0.0
2063,43109.9539324,0.0,0.0
2064,43109.9539324,0.0,0.0
2065,43109.9539324,0.0,0.0
2066,43109.9539324,0.0,0.0
2067,43109.9539324,0.0,0.0
2068,43109.9539324,0.0,0.0
2069,43109.9539324,0.0,0.0
2070,43109.9539324,0.0,0.0
