year,Base case diesel consumed,Modeled non-residential ashp
2017,35338.6404543,19659.0724289
2018,35338.6404543,19659.0724289
2019,35338.6404543,19659.0724289
2020,34016.4981405,18336.9301152
2021,34016.4981405,18336.9301152
2022,34016.4981405,18336.9301152
2023,32694.3558268,17014.7878014
2024,32694.3558268,17014.7878014
2025,32694.3558268,17014.7878014
2026,31372.213513,15692.6454876
2027,31372.213513,15692.6454876
2028,31372.213513,15692.6454876
2029,31372.213513,15692.6454876
2030,30050.0711992,14370.5031738
2031,30050.0711992,14370.5031738
