year,Base case cost,Modeled biomass for heat (cordwood)
2017,14089.1315805,14060.4687091
2018,15736.4715805,15278.521022
2019,18021.4915805,16968.0774561
2020,19137.4315805,17793.209668
2021,19881.3915805,18343.2978094
2022,20465.9315805,18775.5099204
2023,20891.0515805,19089.8460012
2024,21209.8915805,19325.5980617
2025,21635.0115805,19639.9341425
2026,22113.2715805,19993.5622333
2027,22538.3915805,20307.8983141
2028,22857.2315805,20543.6503747
2029,23335.4915805,20897.2784655
2030,23601.1915805,21093.738516
2031,24132.5915805,21486.6586169
2032,,
2033,,
2034,,
2035,,
2036,,
