year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,,14089.63,310772.06,,8568.28,163713.14
2018,,15737.02,337545.79,,8575.26,163846.4
2019,,18022.13,374683.55,,8584.93,164031.25
2020,,19138.1,388675.69,,8589.66,162558.46
2021,,19882.09,400639.47,,8592.81,162618.07
2022,,20466.65,405666.85,,8595.28,161100.82
2023,,20891.79,412430.39,,8597.08,161134.55
2024,,21210.64,413002.73,,8598.43,159595.2
2025,,21635.77,419693.36,,8600.23,159628.6
2026,,22114.05,422565.09,,8602.26,158100.83
2027,,22539.18,424454.68,,8604.06,156568.23
2028,,22858.04,424580.48,,8605.41,155026.86
2029,,23336.31,431861.39,,8607.43,155063.34
2030,,23602.02,430995.94,,8608.56,153517.11
2031,,24133.44,433993.17,,8610.8,151990.32
2032,,,436026.49,,,150458.78
2033,,,438668.31,,,148930.39
2034,,,441127.87,,,147401.19
2035,,,441142.24,,,145859.74
2036,,,448685.35,,,145897.82
