year,Base case cost,Modeled biomass for heat (pellet)
2017,14089.1315805,16785.525453
2018,15736.4715805,17919.8531677
2019,18021.4915805,19510.0235678
2020,19137.4315805,20267.1690662
2021,19881.3915805,20759.8759447
2022,20465.9315805,21139.751676
2023,20891.0515805,21406.7753894
2024,21209.8915805,21598.8339145
2025,21635.0115805,21867.5361916
2026,22113.2715805,22174.9555721
2027,22538.3915805,22445.2586523
2028,22857.2315805,22640.519684
2029,23335.4915805,22950.25662
2030,23601.1915805,23109.1013046
2031,24132.5915805,23458.2013736
2032,,
2033,,
2034,,
2035,,
2036,,
