year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,94068.83,929537.01,794976.99,247843.73,945411.65,643371.5
2018,101494.57,984587.41,852168.79,260982.14,980379.09,679409.15
2019,111382.32,1060811.04,931419.3,278105.54,1028795.54,729019.77
2020,117288.13,1096805.53,984633.13,288670.92,1051658.87,761635.62
2021,121984.65,1120096.08,1024186.18,297248.53,1066452.78,785666.09
2022,126353.28,1139151.99,1067040.15,305291.91,1078556.9,811417.7
2023,130142.55,1151855.93,1105706.27,312404.89,1086626.31,834448.81
2024,133797.49,1162442.54,1143193.57,319311.74,1093350.81,856678.03
2025,137785.3,1175146.48,1182858.53,326759.13,1101420.22,880191.94
2026,142115.83,1189967.74,1224831.42,334757.19,1110834.53,905053.51
2027,146284.6,1202671.68,1265582.08,342494.16,1118903.94,929092.21
2028,150291.74,1213258.3,1311029.6,349978.52,1125628.45,955758.88
2029,154966.71,1228079.56,1354756.98,358548.55,1135042.76,981468.51
2030,158942.7,1236548.85,1399329.69,366014.21,1140422.37,1007480.24
2031,163837.92,1251370.11,1444203.57,374944.47,1149836.68,1033744.05
2032,,,1498025.39,,,1065154.81
2033,,,1550555.49,,,1095709.13
2034,,,1605992.84,,,1127900.78
2035,,,1655574.69,,,1156565.85
2036,,,1712523.33,,,1189488.01
