year,Base case cost,Modeled biomass for heat (cordwood)
2017,299588.034146,312970.614562
2018,320799.812561,331783.83726
2019,352908.371392,360871.634062
2020,366120.789807,372489.703223
2021,376027.408223,381124.991509
2022,382633.097431,386782.18649
2023,387590.777431,390956.428378
2024,391717.436638,394385.730423
2025,395848.786638,397826.833145
2026,401622.955054,402760.096666
2027,406565.692677,406947.510337
2028,410681.880301,410393.796035
2029,415633.989509,414603.669286
2030,418928.567924,417319.927453
2031,430791.655962,428295.660357
2032,436635.734378,433337.206375
2033,442479.532794,438384.353551
2034,449159.351209,444194.463615
2035,452493.729625,446979.94411
2036,459172.988041,452800.580135
