year,Base case cost,"Galena and ruby (melozitna river, low head)",Ruby (grayling creek)
2021,145117.305415,75081132.6504,900432.699105
2022,148987.100226,73584805.3986,885218.881904
2023,151889.446334,72128111.8343,870058.556497
2024,154308.068091,70707723.2565,855109.848458
2025,156726.689848,69320329.9892,840531.096678
2026,160112.760308,67960123.0913,826648.06558
2027,163015.106416,66633900.7596,812950.634395
2028,165433.728173,65340925.5112,799430.534178
2029,168336.074281,64075441.5014,786414.12469
2030,170270.971687,62844298.8253,773391.867066
2031,174140.766498,61631703.7886,761359.365852
2032,177526.836957,60449574.6625,749473.012016
2033,180912.907417,59294738.6151,737892.678796
2034,184782.702228,58164038.158,726778.411471
2035,186992.588735,57069712.6042,715562.10647
2036,190868.082802,55990465.1997,705030.386143
2037,193290.266594,54943591.9809,694273.199729
2038,196681.323902,53915925.6943,684123.67428
2039,199587.944453,52914449.4714,674071.649331
2040,203947.875278,51928540.1052,664782.62409
2041,203947.875278,50987860.868,654235.362493
2042,203947.875278,50069228.8004,643935.30234
2043,203947.875278,49172127.1635,633876.649751
2044,203947.875278,48296051.3522,624053.746901
2045,203947.875278,47440508.569,614461.06835
2046,203947.875278,46605017.5692,605093.218197
2047,203947.875278,45789108.3928,595944.927066
2048,203947.875278,44992322.0809,587011.048932
2049,203947.875278,44214210.4509,578286.558596
2050,203947.875278,43454335.8128,569766.548509
2051,203947.875278,42712270.7375,561446.226171
2052,203947.875278,41987597.8095,553320.911353
2053,203947.875278,41279909.409,545386.033667
2054,203947.875278,40588807.4507,537637.129624
2055,203947.875278,39913903.195,530069.840525
2056,203947.875278,39254817.0081,522679.909767
2057,203947.875278,38611178.1517,515463.180489
2058,203947.875278,37982624.5869,508415.59337
2059,203947.875278,37368802.7416,501533.184021
2060,203947.875278,36769367.3438,494812.081118
2061,203947.875278,36183981.2179,488248.50412
2062,203947.875278,35612315.0747,481838.760904
2063,203947.875278,35054047.3583,475579.246062
2064,203947.875278,34508864.043,469466.438617
2065,203947.875278,33976458.4664,463496.900149
2066,203947.875278,33456531.1332,457667.272602
2067,203947.875278,32948789.6065,451974.277058
2068,203947.875278,32452948.2677,446414.711051
2069,203947.875278,31968728.2153,440985.447428
2070,203947.875278,31495857.0687,435683.432153
