year,Base case diesel consumed,Modeled solar power
2020,48372.4351383,48261.8998861
2021,48372.4351383,48262.7841682
2022,48372.4351383,48263.6613759
2023,48372.4351383,48264.531566
2024,48372.4351383,48265.3947946
2025,48372.4351383,48266.2511173
2026,48372.4351383,48267.1005895
2027,48372.4351383,48267.9432659
2028,48372.4351383,48268.7792009
2029,48372.4351383,48269.6084484
2030,48372.4351383,48270.4310619
2031,48372.4351383,48271.2470945
2032,48372.4351383,48272.0565989
2033,48372.4351383,48272.8596272
2034,48372.4351383,48273.6562313
2035,48443.675838,48345.6871623
2036,48443.675838,48346.4710717
2037,48443.675838,48347.2487098
2038,48443.675838,48348.0201269
2039,48443.675838,48348.7853725
