year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,8300.49149419,5395.31947123
2018,8298.1742433,5393.81325815
2019,8296.06075068,5392.43948794
2020,8293.96523673,5391.07740387
2021,8292.1260853,5389.88195545
2022,8290.58524663,5388.88041031
2023,8290.55461631,5388.8605006
2024,8290.39280827,5388.75532538
2025,8289.57710932,5388.22512106
2026,8287.78789865,5387.06213412
2027,8284.89865968,5385.18412879
2028,8282.40495146,5383.56321845
2029,8280.98596823,5382.64087935
2030,8278.66871734,5381.13466627
2031,8277.061291,5380.08983915
