year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,48372.44,8300.49,30239.78,43074.3
2018,48372.44,8298.17,30239.78,43074.3
2019,48372.44,8296.06,30239.78,44096.84
2020,48372.44,8293.97,30239.78,44096.84
2021,48372.44,8292.13,30239.78,44096.84
2022,48372.44,8290.59,30239.78,44096.84
2023,48372.44,8290.55,30239.78,44096.84
2024,48372.44,8290.39,30239.78,44096.84
2025,48372.44,8289.58,30239.78,44096.84
2026,48372.44,8287.79,30239.78,44096.84
2027,48372.44,8284.9,30239.78,44096.84
2028,48372.44,8282.4,30239.78,44096.84
2029,48372.44,8280.99,30239.78,44096.84
2030,48372.44,8278.67,30239.78,44096.84
2031,48372.44,8277.06,30239.78,45119.39
2032,48372.44,8274.85,30239.78,45119.39
2033,48372.44,8273.13,30239.78,45119.39
2034,48372.44,8271.46,30239.78,45119.39
2035,48443.68,8268.86,30239.78,45119.39
2036,48443.68,8267.27,30239.78,45119.39
2037,48443.68,8265.83,30239.78,45119.39
2038,48443.68,8264.47,30239.78,45119.39
2039,48443.68,8263.1,30239.78,45119.39
2040,48443.68,8261.15,30239.78,45119.39
