year,Base case cost,Modeled solar power
2020,139312.613198,140002.548832
2021,145117.305415,145775.286526
2022,148987.100226,149618.174246
2023,151889.446334,152496.383919
2024,154308.068091,154892.504562
2025,156726.689848,157289.160562
2026,160112.760308,160651.68198
2027,163015.106416,163532.069399
2028,165433.728173,165930.285919
2029,168336.074281,168811.687474
2030,170270.971687,170728.174906
2031,174140.766498,174575.96322
2032,177526.836957,177941.536506
2033,180912.907417,181307.588501
2034,184782.702228,185156.845429
2035,186992.588735,187350.587666
2036,190868.082802,191206.450549
2037,193290.266594,193612.350354
2038,196681.323902,196985.609017
2039,199587.944453,199875.800012
