year,annotation,diesel generation efficiency
2002,,11.46
2003,,3.22
2004,,8.85
2005,,11.32
2006,,0.43
2007,,0.0
2008,,0.0
2009,,4.6
2010,,13.27
2011,,13.96
2012,,15.08
2013,,13.08
2014,start of forecast,14.04
2015,,14.04
2016,,14.04
2017,,14.04
2018,,14.04
2019,,14.04
2020,,14.04
2021,,14.04
2022,,14.04
2023,,14.04
2024,,14.04
2025,,14.04
2026,,14.04
2027,,14.04
2028,,14.04
2029,,14.04
2030,,14.04
2031,,14.04
2032,,14.04
2033,,14.04
2034,,14.04
2035,,14.04
2036,,14.04
2037,,14.04
2038,,14.04
2039,,14.04
2040,,14.04
