year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,30239.7830003,19725.4394202
2018,30239.7830003,19725.4394202
2019,30239.7830003,19725.4394202
2020,30239.7830003,19725.4394202
2021,30239.7830003,19725.4394202
2022,30239.7830003,19725.4394202
2023,30239.7830003,19725.4394202
2024,30239.7830003,19725.4394202
2025,30239.7830003,19725.4394202
2026,30239.7830003,19725.4394202
2027,30239.7830003,19725.4394202
2028,30239.7830003,19725.4394202
2029,30239.7830003,19725.4394202
2030,30239.7830003,19725.4394202
2031,30239.7830003,19725.4394202
