year,Base case diesel consumed,"Galena and ruby (melozitna river, low head)",Ruby (grayling creek)
2021,48372.4351383,0.0,13324.5380398
2022,48372.4351383,0.0,13324.5380398
2023,48372.4351383,0.0,13324.5380398
2024,48372.4351383,0.0,13324.5380398
2025,48372.4351383,0.0,13324.5380398
2026,48372.4351383,0.0,13324.5380398
2027,48372.4351383,0.0,13324.5380398
2028,48372.4351383,0.0,13324.5380398
2029,48372.4351383,0.0,13324.5380398
2030,48372.4351383,0.0,13324.5380398
2031,48372.4351383,0.0,13324.5380398
2032,48372.4351383,0.0,13324.5380398
2033,48372.4351383,0.0,13324.5380398
2034,48372.4351383,0.0,13324.5380398
2035,48443.675838,71.2406997618,13395.7787396
2036,48443.675838,71.2406997618,13395.7787396
2037,48443.675838,71.2406997618,13395.7787396
2038,48443.675838,71.2406997618,13395.7787396
2039,48443.675838,71.2406997618,13395.7787396
2040,48443.675838,71.2406997618,13395.7787396
2041,48443.675838,71.2406997618,13395.7787396
2042,48443.675838,71.2406997618,13395.7787396
2043,48443.675838,71.2406997618,13395.7787396
2044,48443.675838,71.2406997618,13395.7787396
2045,48443.675838,71.2406997618,13395.7787396
2046,48443.675838,71.2406997618,13395.7787396
2047,48443.675838,71.2406997618,13395.7787396
2048,48443.675838,71.2406997618,13395.7787396
2049,48443.675838,71.2406997618,13395.7787396
2050,48443.675838,71.2406997618,13395.7787396
2051,48443.675838,71.2406997618,13395.7787396
2052,48443.675838,71.2406997618,13395.7787396
2053,48443.675838,71.2406997618,13395.7787396
2054,48443.675838,71.2406997618,13395.7787396
2055,48443.675838,71.2406997618,13395.7787396
2056,48443.675838,71.2406997618,13395.7787396
2057,48443.675838,71.2406997618,13395.7787396
2058,48443.675838,71.2406997618,13395.7787396
2059,48443.675838,71.2406997618,13395.7787396
2060,48443.675838,71.2406997618,13395.7787396
2061,48443.675838,71.2406997618,13395.7787396
2062,48443.675838,71.2406997618,13395.7787396
2063,48443.675838,71.2406997618,13395.7787396
2064,48443.675838,71.2406997618,13395.7787396
2065,48443.675838,71.2406997618,13395.7787396
2066,48443.675838,71.2406997618,13395.7787396
2067,48443.675838,71.2406997618,13395.7787396
2068,48443.675838,71.2406997618,13395.7787396
2069,48443.675838,71.2406997618,13395.7787396
2070,48443.675838,71.2406997618,13395.7787396
