year,Base case cost,Goodro lake (goodro creek),Chomondeley sound (chomly creek),Lake 1013 project,Hetta lake,Klawak lake (klawak creek),Neck lake hydropower project: phases ii-iii -- neck lake outlet,Harris river (kasaan bay),Lake josephine (portage creek),"Thorne bay, thorne river",Karheen lake (karheen passage),Wolf lake,Coffman cove -- trumpeter creek,Red lake (red river),Beaver creek,Navy lake (navy creek),Whale pass work center (neck creek) -- neck island lake,Waterfall lake,Mary's lake (brown and johnson creeks) -- lake mary,Kasaan -- linkum creek,"Meyers chuck (meyers lake; 55.44', 132.14')","Meyers chuck (cannery creek; 155.46', 132.11')"
2021,1011897.21342,1075682.95385,1593583.97055,1110219.79753,1809651.97639,1145131.08742,1128311.19882,1107652.44982,2744678.48781,10398283.2407,1237117.04649,253100.266931,969278.487983,30130556.23,5516132.4477,2104110.34535,1062662.21967,2321652.34926,2374270.41756,1025866.92925,1722451.56384,1628945.23261
2022,1048036.39962,1108702.64276,1616952.84396,1124231.34477,1796424.50847,1170022.03523,1159230.97225,1136284.20988,2685956.23892,10159440.3198,1265804.95735,241772.781147,991415.963376,29496372.2849,5399794.87393,2077643.65511,1093107.32221,2283435.70752,2323255.42211,1061094.91299,1743557.73361,1648837.2033
2023,1069719.91133,1127784.97393,1626521.51041,1129083.71637,1777912.06015,1182768.87521,1176517.97053,1151971.86125,2629481.96188,9934454.33004,1280941.9669,231778.575143,1002928.77554,28888383.7188,5287970.40361,2047983.09287,1110343.21408,2244081.39733,2274183.90347,1082039.94774,1750861.81064,1655670.11959
2024,1087789.50443,1143415.95399,1632841.48124,1131807.03667,1758556.62851,1192578.62075,1190453.97423,1164490.9291,2574530.22576,9716626.28099,1292785.11918,222262.294732,1011865.44928,28297230.9171,5179174.50632,2018147.24055,1124323.43437,2205185.40369,2226433.15811,1099422.91673,1754957.73511,1659469.00473
2025,1113086.93476,1166081.61482,1646464.42198,1139431.55306,1742800.57675,1208658.36096,1211320.80771,1183616.99023,2520376.33491,9499260.00998,1311591.53013,212368.696426,1026274.57066,27713562.14,5071924.10636,1991155.15712,1145001.55791,2168344.28014,2179381.12161,1123964.70982,1766439.6327,1670259.05859
2026,1141998.28372,1192285.25131,1663864.8025,1149607.21726,1729143.38332,1227934.98403,1235688.83605,1206088.7362,2467222.22086,9284435.16311,1333938.28795,202376.894736,1043469.9756,27140070.1799,4966635.15306,1965974.77631,1169057.80236,2132995.19583,2133200.69934,1152091.33924,1781766.12759,1684689.02751
2027,1163681.79544,1211538.80134,1674478.56501,1155293.88909,1713113.25075,1241195.3121,1253272.71461,1222126.43945,2415733.46303,9078620.57665,1349562.49969,193133.233503,1055398.15282,26585473.6759,4864673.76982,1939548.68613,1186535.72302,2097495.88621,2088462.57218,1173081.38148,1790328.17758,1692719.51135
2028,1185365.30715,1230832.67765,1685338.47353,1161177.05929,1697667.76502,1254576.57935,1270926.51583,1238246.58858,2365418.91844,8877321.33043,1365301.45961,184066.344151,1067424.15879,26043452.3247,4765035.38783,1913884.39422,1204070.64745,2062904.5247,2044745.06601,1194082.02409,1799186.51134,1701032.05201
2029,1210662.73749,1253661.62563,1699958.09627,1169597.22697,1684279.03577,1271146.02032,1292076.47662,1257706.48543,2316019.5927,8678238.34777,1384572.50311,174888.521642,1082229.40345,25510702.2232,4667191.16758,1889976.94598,1224979.58781,2029739.81888,2001825.67669,1218666.73969,1811868.10631,1712964.19612
2030,1225118.41196,1266041.96077,1704254.45416,1171169.47951,1666990.44135,1278620.5925,1303009.49479,1267467.30762,2268434.52354,8490041.34471,1393692.90636,166729.970527,1089076.83805,24998972.4369,4572985.55272,1863757.3169,1235987.84757,1995821.05112,1960475.39339,1232540.40159,1814230.49944,1715132.86292
2031,1254029.76092,1292442.61415,1722857.39831,1182305.1503,1656189.58114,1298488.07235,1327719.13519,1290341.84877,2221017.11085,8297276.51021,1416600.27449,157601.800292,1106750.19226,24486917.2704,4479045.78546,1842298.75512,1260322.58797,1964907.81112,1919281.28682,1260718.81991,1831004.50959,1730940.84025
2032,1286555.02849,1322375.63445,1745203.54737,1195964.63918,1647406.26444,1321535.61439,1355920.24536,1316550.60788,2174436.16108,8106425.08986,1443032.0299,148350.840594,1127196.22366,23983289.9229,4386744.37339,1822545.94226,1288027.52097,1935360.32961,1878816.84279,1292480.60022,1851581.90882,1750349.50314
2033,1315466.37745,1348848.7814,1764248.9822,1207453.5503,1637656.40961,1341620.50363,1380755.58403,1339573.35999,2129129.60296,7921777.37269,1466145.67805,139540.448868,1145045.44225,23493840.8029,4296980.60899,1802456.8467,1312464.73567,1906079.28583,1839457.48178,1320678.07457,1868888.54112,1766664.52714
2034,1347991.64502,1378852.59628,1787027.25149,1221458.00079,1629899.46637,1364880.35973,1409079.44653,1365926.85651,2084610.03663,7738852.83249,1492778.87899,130599.820049,1165663.21637,23012289.6941,4208757.3287,1784041.40451,1340269.74133,1878125.7475,1800784.7832,1352458.46432,1889986.07968,1786568.35329
2035,1366061.23812,1394907.80758,1795936.67071,1226248.47784,1616694.50139,1375962.38153,1423751.03444,1379313.25254,2042010.98755,7568526.02368,1505829.17861,122943.174371,1175629.04561,22553427.1126,4124399.33305,1762219.64651,1354849.63959,1848781.33989,1763770.93934,1369952.94895,1897198.90041,1793334.46743
2036,1398586.50569,1424979.13739,1819127.04175,1240581.90917,1609916.38363,1399424.716,1452191.96262,1405804.78134,1999457.30863,7393161.14152,1532654.49287,114298.499986,1196410.60627,22092929.5347,4040065.26025,1745079.6197,1382750.08192,1822347.90344,1726806.98149,1401751.08602,1918792.48222,1813710.5178
2037,1416656.09879,1441100.28126,1828438.90422,1245693.65669,1597667.30324,1410704.47064,1466977.87253,1419325.97456,1958778.07212,7230216.81375,1545892.40321,106930.872408,1206536.38336,21654627.0489,3959505.32008,1724503.38495,1397423.18008,1794487.97081,1691461.83032,1419262.90202,1926489.72035,1820937.78857
2038,1449181.36636,1471235.99836,1852022.28629,1260340.82873,1591822.6666,1434359.90361,1495530.44329,1445949.14126,1918099.21032,7062061.38633,1572900.93109,98568.4422838,1227474.1431,21214207.691,3878880.28614,1708579.68955,1425414.63796,1769504.21708,1656127.4553,1451077.96428,1948556.36608,1841764.18726
2039,1474478.7967,1494411.40108,1868756.62054,1270449.1707,1583456.80739,1451968.3679,1517281.12986,1466117.35456,1878787.89009,6901770.99765,1593157.80941,90909.3181251,1243119.86289,20789494.3646,3800993.64155,1691217.07057,1446813.31424,1744139.95599,1621976.5162,1475753.75077,1963783.42071,1856119.56305
2040,1510617.98289,1528104.21308,1896234.14358,1287740.65312,1579988.21813,1478878.02263,1549368.04677,1496125.29482,1839665.51562,6738297.77889,1623761.08784,82532.4945802,1266890.28815,20365213.8755,3723431.42093,1677466.25676,1478209.91928,1721078.7121,1587997.64577,1511158.67515,1989835.13593,1880719.60378
2041,1510617.98289,1526869.7489,1888699.14613,1281725.46434,1562091.06639,1475175.84482,1547227.58118,1493601.46942,1803720.61473,6600074.62428,1620248.42771,77121.1710436,1263895.56381,19980264.5251,3652319.93332,1654146.16253,1476464.92529,1693284.69351,1556754.49529,1510834.17746,1980765.32571,1872085.3081
2042,1510617.98289,1525664.21745,1881340.75,1275851.2564,1544613.37873,1471560.43671,1545137.2827,1491136.79612,1768618.1716,6465091.07161,1616818.09548,71836.6752752,1260971.02825,19604337.4161,3582875.11954,1631372.63247,1474760.82954,1666142.09659,1526243.60542,1510517.28518,1971908.08896,1863653.37853
2043,1510617.98289,1524486.9407,1874154.81667,1270114.72552,1527545.3253,1468029.76492,1543095.9757,1488729.88873,1734338.44385,6333271.20312,1613468.16183,66676.0351569,1258115.03665,19237221.1186,3515057.92226,1609132.85823,1473096.67364,1639635.65572,1496447.81615,1510207.82008,1963258.44416,1855419.07275
2044,1510617.98289,1523337.25637,1867137.30359,1264512.64454,1510877.30423,1464581.84322,1541102.51181,1486379.3932,1700862.14692,6204540.86164,1610196.74223,61636.3474958,1255325.98233,18878709.1061,3448830.18995,1587414.3285,1471471.52137,1613750.45932,1467350.36542,1509905.60806,1954811.52533,1847377.75844
2045,1510617.98289,1522214.51778,1860284.26359,1259041.86243,1494599.9402,1461214.73225,1539155.76977,1484083.98746,1668170.4513,6078827.63986,1607001.99658,56714.7776055,1252602.29652,18528599.7254,3384154.67131,1566204.82721,1469884.45864,1588471.94768,1438934.88672,1509610.47915,1946562.58132,1839524.91258
2046,1510617.98289,1521118.09333,1853591.84144,1253699.30154,1478704.0762,1457926.5378,1537254.65442,1481842.3802,1636244.96592,5956060.81639,1603882.12765,51908.5568008,1249942.44698,18186696.0185,3320994.98239,1545492.4227,1468334.59262,1563785.90009,1411185.3946,1509322.2673,1938506.97158,1831856.11746
2047,1510617.98289,1520047.36637,1847056.27318,1248481.95713,1463180.77211,1454715.41053,1535398.09653,1479653.31069,1605067.73531,5836171.34501,1600835.38076,47214.9819788,1247344.93776,17852805.6927,3259315.60109,1525265.46596,1466821.05165,1539678.43268,1384086.28226,1509040.81044,1930640.16551,1824367.06002
2048,1510617.98289,1519001.73455,1840673.88213,1243386.8941,1448021.29507,1451579.54397,1533585.05166,1477515.54744,1574621.22023,5719091.78003,1597860.04193,42631.4126961,1244808.3076,17526740.9128,3199081.8287,1505512.578,1465342.98426,1516135.98341,1357622.30466,1508765.95021,1922957.73749,1817053.52717
2049,1510617.98289,1517980.60971,1834441.07828,1238411.24652,1433217.11804,1448517.17424,1531814.50001,1475427.88798,1544888.29491,5604756.2656,1594954.43755,38155.2707498,1242331.12967,17208318.2713,3140259.78445,1486222.64805,1463899.55905,1493145.30995,1331778.57614,1508497.53201,1915455.36627,1809911.40514
2050,1510617.98289,1516983.41751,1828354.35595,1233552.21583,1418759.91433,1445526.57888,1530085.44571,1473389.15811,1515852.23586,5493100.49304,1592116.93336,33784.0385077,1239912.01067,16897358.6695,3082816.38353,1467384.82639,1462489.96415,1470693.48105,1306540.56075,1508235.40487,1908128.83209,1802936.6768
