year,Base case cost,Modeled solar power (pv)
2016,552929.548763,599663.386158
2017,675802.781821,719573.246935
2018,773378.584544,814623.480752
2019,903479.654841,941762.746868
2020,968530.189989,1004872.15755
2021,1011897.21342,1046657.01867
2022,1048036.39962,1081353.74226
2023,1069719.91133,1101835.83125
2024,1087789.50443,1118783.75087
2025,1113086.93476,1142883.04063
2026,1141998.28372,1170572.70425
2027,1163681.79544,1191163.51475
2028,1185365.30715,1211779.83102
2029,1210662.73749,1235985.18619
2030,1225118.41196,1249522.26484
2031,1254029.76092,1277341.16928
2032,1286555.02849,1308750.26659
2033,1315466.37745,1336618.85848
2034,1347991.64502,1368077.36696
2035,1366061.23812,1385294.24991
