year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2003,,773.07,304680.0,0.0,304680.0
2004,,773.07,300840.0,0.0,300840.0
2005,,773.07,292296.0,0.0,292296.0
2006,,773.07,283440.0,0.0,283440.0
2007,,773.07,277680.0,0.0,277680.0
2008,,773.07,304800.0,0.0,304800.0
2009,,773.07,324840.0,0.0,324840.0
2010,,773.07,376532.0,0.0,376532.0
2011,,773.07,455637.0,0.0,455637.0
2012,,773.07,485746.0,0.0,485746.0
2013,,773.07,438066.0,0.0,438066.0
2014,start of forecast,773.07,420000.0,4508.0,415492.0
2015,,773.07,417000.0,4508.0,412492.0
2016,,773.07,415000.0,4508.0,410492.0
2017,,773.07,413000.0,4508.0,408492.0
2018,,773.07,411000.0,4508.0,406492.0
2019,,773.07,409000.0,4508.0,404492.0
2020,,773.07,407000.0,4508.0,402492.0
2021,,773.07,405000.0,4508.0,400492.0
2022,,773.07,403000.0,4508.0,398492.0
2023,,773.07,400000.0,4508.0,395492.0
2024,,773.07,398000.0,4508.0,393492.0
2025,,773.07,395000.0,4508.0,390492.0
2026,,773.07,393000.0,4508.0,388492.0
2027,,773.07,391000.0,4508.0,386492.0
2028,,773.07,389000.0,4508.0,384492.0
2029,,773.07,387000.0,4508.0,382492.0
2030,,773.07,386000.0,4508.0,381492.0
2031,,773.07,384000.0,4508.0,379492.0
2032,,773.07,382000.0,4508.0,377492.0
2033,,773.07,381000.0,4508.0,376492.0
2034,,773.07,379000.0,4508.0,374492.0
2035,,773.07,377000.0,4508.0,372492.0
2036,,773.07,376000.0,4508.0,371492.0
2037,,773.07,374000.0,4508.0,369492.0
2038,,773.07,372000.0,4508.0,367492.0
2039,,773.07,371000.0,4508.0,366492.0
2040,,773.07,369000.0,4508.0,364492.0
