year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,43422.0,30975.4066968
2018,43422.0,30975.4066968
2019,43422.0,30975.4066968
2020,43422.0,30975.4066968
2021,43422.0,30975.4066968
2022,43422.0,30975.4066968
2023,43422.0,30975.4066968
2024,43422.0,30975.4066968
2025,43422.0,30975.4066968
2026,43422.0,30975.4066968
2027,43422.0,30975.4066968
2028,43422.0,30975.4066968
2029,43422.0,30975.4066968
2030,43422.0,30975.4066968
2031,43422.0,30975.4066968
2032,,
2033,,
2034,,
2035,,
2036,,
