year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,43422.0,32106.9151789
2018,43422.0,32106.9151789
2019,43422.0,32106.9151789
2020,43422.0,32106.9151789
2021,43422.0,32106.9151789
2022,43422.0,32106.9151789
2023,43422.0,32106.9151789
2024,43422.0,32106.9151789
2025,43422.0,32106.9151789
2026,43422.0,32106.9151789
2027,43422.0,32106.9151789
2028,43422.0,32106.9151789
2029,43422.0,32106.9151789
2030,43422.0,32106.9151789
2031,43422.0,32106.9151789
2032,,
2033,,
2034,,
2035,,
2036,,
