year,Base case cost,Modeled biomass for heat (pellet)
2017,152011.398661,164801.041769
2018,163735.338661,173164.401577
2019,180669.918661,185244.810188
2020,188485.878661,190820.383394
2021,194130.738661,194847.186264
2022,198472.938661,197944.726934
2023,201078.258661,199803.251336
2024,203683.578661,201661.775738
2025,206288.898661,203520.30014
2026,210196.878661,206308.086742
2027,212802.198661,208166.611144
2028,215407.518661,210025.135546
2029,218881.278661,212503.168082
2030,220618.158661,213742.184349
2031,224526.138661,216529.970952
2032,,
2033,,
2034,,
2035,,
2036,,
