year,Base case cost,Manley hot springs (mccloud ranch creek)
2021,93576.1471726,424452.803847
2022,96297.5001691,426748.935158
2023,97471.3279042,427667.629881
2024,98867.6060741,428808.775039
2025,99988.6218355,429674.657789
2026,102274.28245,431577.618886
2027,103603.345381,432651.548805
2028,104913.203957,433706.27437
2029,106815.984163,435268.877227
2030,107757.772089,436040.576478
2031,109925.806035,437825.910906
2032,111762.971365,439322.898887
2033,114178.261369,441355.489374
2034,116268.677717,443063.206205
2035,117436.104001,443975.499477
2036,119796.181488,445952.877446
2037,120629.53843,446573.623545
2038,122917.193096,448436.056525
2039,124635.537887,449856.746135
2040,126871.980942,451667.967504
2041,126523.902024,451319.888586
2042,125827.744189,450623.730751
2043,125479.665271,450275.651833
2044,124783.507435,449579.493997
2045,124435.428517,449231.415079
2046,123739.270681,448535.257243
2047,123391.191763,448187.178325
2048,123043.112845,447839.099407
2049,122346.95501,447142.941572
2050,121998.876092,446794.862654
