year,Base case cost,Modeled diesel efficiency
2019,407542.922053,598856.482418
2020,433046.791771,616689.562653
2021,451998.923847,628691.961266
2022,466904.829324,637138.475483
2023,478232.489463,642451.671624
2024,486724.16838,645303.531355
2025,497923.18912,650730.701151
2026,510810.786793,657804.357103
2027,522741.721353,664117.124171
2028,532071.77428,668171.708199
2029,545231.436888,675811.519968
2030,554409.192597,679932.74886
2031,567740.374403,687928.777106
2032,581166.18749,696107.47194
2033,595743.101402,705426.995282
2034,609358.177053,713964.281537
2035,620953.466286,720755.399597
2036,636490.000539,731217.359562
2037,646195.621365,736464.321078
2038,661590.948003,746967.562647
