year,Base case cost,Modeled non-residential energy efficiency
2017,567596.599093,572548.63518
2018,607403.229376,608987.610056
2019,662308.926318,659579.497636
2020,687016.489941,681922.935259
2021,704860.841447,697860.375228
2022,718587.265683,709961.138869
2023,728195.762648,718224.805432
2024,735058.974765,723935.840115
2025,744667.47173,732233.346018
2026,755648.611119,741832.055198
2027,765257.108083,750161.832806
2028,772120.320201,755937.429065
2029,783101.459589,765582.85946
2030,789964.671707,771388.511089
2031,800945.811095,781063.292434
