year,Base case diesel consumed,Modeled wind power,Chefornak wind heat system
2019,129378.705414,94900.7922813,88845.5923882
2020,130044.081613,95566.1684806,89510.9685875
2021,130635.527123,96157.6139911,90102.4140979
2022,131153.041945,96675.1288127,90619.9289196
2023,131744.487455,97266.5743232,91211.37443
2024,132262.002277,97784.0891448,91728.8892517
2025,132779.517099,98301.6039665,92246.4040733
2026,133370.962609,98893.049477,92837.8495838
2027,134036.338808,99558.4256762,93503.2257831
2028,134701.715008,100223.801876,94168.6019823
2029,135293.160518,100815.247386,94760.0474928
2030,135884.606029,101406.692896,95351.4930033
2031,136476.051539,101998.138407,95942.9385137
2032,137067.49705,102589.583917,96534.3840242
2033,137585.011871,103107.098739,97051.8988458
2034,138176.457382,103698.544249,97643.3443563
2035,138915.76427,104437.851138,98382.6512444
2036,139581.140469,105103.227337,99048.0274437
2037,140172.585979,105694.672847,99639.4729541
2038,140764.03149,106286.118358,100230.918465
