year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,645936.0,355712.0,290224.0
2004,,657443.0,369657.0,287786.0
2005,,662248.0,360389.0,301859.0
2006,,667291.0,361005.0,306286.0
2007,,726021.0,390212.0,335809.0
2008,,888145.0,435685.0,452460.0
2009,,1034104.0,434955.0,599149.0
2010,,1072021.0,429285.0,642736.0
2011,,1139474.0,419680.0,719794.0
2012,,1159399.0,448305.0,711094.0
2013,,1082918.0,430599.0,652319.0
2014,start of forecast,1110293.0,415891.0,694402.0
2015,,1117271.0,422869.0,694402.0
2016,,1123998.0,429596.0,694402.0
2017,,1130127.0,435724.0,694402.0
2018,,1135516.0,441113.0,694402.0
2019,,1141690.0,447288.0,694402.0
2020,,1147432.0,453030.0,694402.0
2021,,1152636.0,458234.0,694402.0
2022,,1157520.0,463118.0,694402.0
2023,,1162285.0,467882.0,694402.0
2024,,1167020.0,472618.0,694402.0
2025,,1171819.0,477417.0,694402.0
2026,,1176860.0,482458.0,694402.0
2027,,1182590.0,488187.0,694402.0
2028,,1188829.0,494427.0,694402.0
2029,,1193948.0,499546.0,694402.0
2030,,1199083.0,504681.0,694402.0
2031,,1204201.0,509798.0,694402.0
2032,,1209371.0,514969.0,694402.0
2033,,1213936.0,519534.0,694402.0
2034,,1219196.0,524794.0,694402.0
2035,,1226199.0,531797.0,694402.0
2036,,1231561.0,537159.0,694402.0
2037,,1236977.0,542575.0,694402.0
2038,,1242468.0,548066.0,694402.0
2039,,1248050.0,553648.0,694402.0
2040,,1253716.0,559314.0,694402.0
