year,Base case cost,Modeled solar power
2020,433046.791771,443918.884777
2021,451998.923847,462246.604897
2022,466904.829324,476608.394588
2023,478232.489463,487470.360377
2024,486724.16838,495551.026102
2025,497923.18912,506305.540926
2026,510810.786793,518737.508327
2027,522741.721353,530244.731005
2028,532071.77428,539203.457294
2029,545231.436888,551937.770268
2030,554409.192597,560762.665057
2031,567740.374403,573687.563531
2032,581166.18749,586716.569924
2033,595743.101402,600885.582629
2034,609358.177053,614122.368331
2035,620953.466286,625388.342624
2036,636490.000539,640543.961948
2037,646195.621365,649956.403579
2038,661590.948003,664987.664944
2039,674618.274678,677698.22248
