year,Base case diesel consumed,Modeled solar power
2020,130044.081613,127782.895608
2021,130635.527123,128392.430607
2022,131153.041945,128927.8902
2023,131744.487455,129537.136925
2024,132262.002277,130072.310551
2025,132779.517099,130607.342906
2026,133370.962609,131216.16581
2027,134036.338808,131898.780384
2028,134701.715008,132581.257051
2029,135293.160518,133189.666225
2030,135884.606029,133797.939689
2031,136476.051539,134406.078531
2032,137067.49705,135014.083825
2033,137585.011871,135548.025953
2034,138176.457382,136155.76735
2035,138915.76427,136911.239759
2036,139581.140469,137592.652154
2037,140172.585979,138200.005571
2038,140764.03149,138807.231725
2039,141429.407689,139488.262322
