year,Base case cost,Modeled wind power,Chefornak wind heat system
2019,407542.922053,626079.902227,722661.696481
2020,433046.791771,640124.213003,733670.162535
2021,451998.923847,649228.841566,740046.0469
2022,466904.829324,655308.996349,743600.32374
2023,478232.489463,658829.344793,744796.529589
2024,486724.16838,660235.460225,744027.595258
2025,497923.18912,663893.686923,745452.63409
2026,510810.786793,669075.628389,748393.734453
2027,522741.721353,673719.93991,750891.599287
2028,532071.77428,676472.914436,751643.055231
2029,545231.436888,682294.895756,755349.774596
2030,554409.192597,685132.288287,756266.432571
2031,567740.374403,691356.956027,760454.729012
2032,581166.18749,697787.791223,764887.256962
2033,595743.101402,705185.194676,770271.986996
2034,609358.177053,712020.5837,775182.541427
2035,620953.466286,717526.971715,778902.620976
2036,636490.000539,726195.682404,785665.027926
2037,646195.621365,730306.362255,788109.364158
2038,661590.948003,739029.671572,794993.192718
