year,annotation,Average Load
2003,,1281.0
2004,,1323.0
2005,,1343.0
2006,,1363.0
2007,,1388.0
2008,,1429.0
2009,,1423.0
2010,,1408.0
2011,,1458.0
2012,,1414.0
2013,,1422.0
2014,start of forecast,1375.0
2015,,1374.0
2016,,1373.0
2017,,1373.0
2018,,1372.0
2019,,1372.0
2020,,1371.0
2021,,1370.0
2022,,1370.0
2023,,1369.0
2024,,1368.0
2025,,1368.0
2026,,1367.0
2027,,1367.0
2028,,1366.0
2029,,1365.0
2030,,1365.0
2031,,1364.0
2032,,1363.0
2033,,1363.0
2034,,1362.0
2035,,1362.0
2036,,1361.0
2037,,1361.0
2038,,1360.0
2039,,1360.0
2040,,1359.0
