year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,6158.0,5807.45157157
2018,7070.0,6719.45157157
2019,7070.0,6719.45157157
2020,7070.0,6719.45157157
2021,7070.0,6719.45157157
2022,7070.0,6719.45157157
2023,7070.0,6719.45157157
2024,7070.0,6719.45157157
2025,7070.0,6719.45157157
2026,7070.0,6719.45157157
2027,7070.0,6719.45157157
2028,7070.0,6719.45157157
2029,7070.0,6719.45157157
2030,7981.0,7630.45157157
2031,7981.0,7630.45157157
2032,7981.0,7630.45157157
2033,7981.0,7630.45157157
2034,7981.0,7630.45157157
2035,7981.0,7630.45157157
2036,7981.0,7630.45157157
