year,Base case cost,Modeled biomass for heat (pellet)
2017,16573.1683764,17161.1044855
2018,21219.3551513,21689.6679203
2019,24400.8551513,24704.677644
2020,25885.5551513,26107.2239158
2021,26946.0551513,27106.8032158
2022,27723.7551513,27837.799885
2023,28218.6551513,28300.209343
2024,28713.5551513,28762.8051796
2025,29208.4551513,29225.5830264
2026,29915.4551513,29890.122165
2027,30481.0551513,30420.4458505
2028,30905.2551513,30816.5500151
2029,31541.5551513,31414.4032641
2030,36004.8706029,35853.4555595
2031,36802.9706029,36609.9228507
2032,37601.0706029,37366.5443106
2033,38399.1706029,38123.316326
2034,39197.2706029,38880.2353681
2035,39755.9406029,39408.3844438
2036,40554.0406029,40165.5872824
