year,Base case cost,Modeled biomass for heat (cordwood)
2017,16573.1683764,16553.8250447
2018,21219.3551513,21101.2208988
2019,24400.8551513,24139.3147235
2020,25885.5551513,25557.0918417
2021,26946.0551513,26569.7897833
2022,27723.7551513,27312.4349404
2023,28218.6551513,27785.0273132
2024,28713.5551513,28257.6196859
2025,29208.4551513,28730.2120587
2026,29915.4551513,29405.3440197
2027,30481.0551513,29945.4495885
2028,30905.2551513,30350.5287652
2029,31541.5551513,30958.1475301
2030,36004.8706029,35405.5289622
2031,36802.9706029,36171.7609233
2032,37601.0706029,36937.9928844
2033,38399.1706029,37704.2248454
2034,39197.2706029,38470.4568065
2035,39755.9406029,39006.8191792
2036,40554.0406029,39773.0511402
