year,Base case cost,Modeled diesel efficiency
2019,100038.292864,237547.803767
2020,104997.087553,238619.770018
2021,108446.683859,238400.269609
2022,111033.881088,237475.414503
2023,112758.679241,235843.361625
2024,114267.877625,234090.309983
2025,115992.675778,232606.501512
2026,118148.673469,231586.219461
2027,119873.471621,230243.788105
2028,121382.670005,228773.57
2029,123323.067927,227761.966128
2030,124616.666542,226227.415906
2031,126557.064464,225344.393673
2032,128713.062155,224719.410752
2033,130869.059846,224155.013234
2034,133240.657306,223845.781123
2035,134534.25592,222614.328776
2036,136905.853381,222419.300077
2037,138199.451995,221299.374537
2038,140571.049455,221213.258744
