year,Base case cost,Modeled water and wastewater efficiency
2017,6945.52585046,8164.73200636
2018,7403.96113644,8402.3328935
2019,8006.01377445,8740.57198512
2020,8297.66356261,8867.03942801
2021,8508.11404561,8939.37750698
2022,8662.38460141,8974.69415766
2023,8774.81405263,8982.91903534
2024,8867.13697833,8978.8742755
2025,8970.44911448,8983.96790662
2026,9111.76139213,9016.84697494
2027,9226.18169014,9032.71129966
2028,9326.38534024,9040.25292532
2029,9447.19040509,9063.38622191
2030,9532.45920379,9063.47864653
2031,9651.02578922,9087.8360197
