year,Base case diesel consumed,Modeled transmission and interties
2021,43119.9538206,21559.9769103
2022,43119.9538206,21559.9769103
2023,43119.9538206,21559.9769103
2024,43119.9538206,21559.9769103
2025,43119.9538206,21559.9769103
2026,43119.9538206,21559.9769103
2027,43119.9538206,21559.9769103
2028,43119.9538206,21559.9769103
2029,43119.9538206,21559.9769103
2030,43119.9538206,21559.9769103
2031,43119.9538206,21559.9769103
2032,43119.9538206,21559.9769103
2033,43119.9538206,21559.9769103
2034,43119.9538206,21559.9769103
2035,43119.9538206,21559.9769103
2036,43119.9538206,21559.9769103
2037,43119.9538206,21559.9769103
2038,43119.9538206,21559.9769103
2039,43119.9538206,21559.9769103
2040,43119.9538206,21559.9769103
