year,Base case diesel consumed,Modeled residential ashp
2017,3194.1297004,-8819.7321863
2018,3194.1297004,-8819.7321863
2019,3194.1297004,-8819.7321863
2020,3194.1297004,-8819.7321863
2021,3194.1297004,-8819.7321863
2022,3194.1297004,-8819.7321863
2023,3194.1297004,-8819.7321863
2024,3194.1297004,-8819.7321863
2025,3194.1297004,-8819.7321863
2026,3194.1297004,-8819.7321863
2027,3194.1297004,-8819.7321863
2028,3194.1297004,-8819.7321863
2029,3194.1297004,-8819.7321863
2030,3194.1297004,-8819.7321863
2031,3194.1297004,-8819.7321863
