year,Base case cost,Modeled residential energy efficiency
2017,194840.785014,188597.23255
2018,204366.825205,197219.644877
2019,216901.088613,208632.422208
2020,222666.849781,213781.925323
2021,226677.814072,217310.88334
2022,229686.03729,219915.617403
2023,231691.519435,221596.025727
2024,233446.316312,223048.434264
2025,235451.798458,224737.029533
2026,237958.651139,226893.85853
2027,239964.133285,228590.261491
2028,241718.930162,230058.289793
2029,243975.097575,231994.280542
2030,245479.209184,233237.438529
2031,247735.376598,235180.530327
