year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,38327.85,2309956.94,3150546.04,48612.59,989102.68,1031657.14
2018,41244.96,2486178.8,3315401.07,51617.79,1051523.48,1092504.22
2019,45475.86,2740721.48,3557864.14,55996.0,1141686.86,1181557.02
2020,47408.14,2858202.72,3659952.85,57976.1,1183300.73,1219831.09
2021,48789.11,2943050.28,3719668.55,59377.52,1213355.19,1243441.2
2022,49843.0,3008317.63,3767490.08,60439.19,1236474.0,1262124.83
2023,50566.12,3054004.78,3786475.3,61153.59,1252657.17,1271032.75
2024,51074.6,3086638.46,3800921.66,61648.1,1264216.58,1277640.92
2025,51800.2,3132325.61,3827851.18,62367.98,1280399.75,1288809.57
2026,52635.6,3184539.49,3851587.97,63203.17,1298894.8,1299534.2
2027,53359.64,3230226.64,3877539.21,63920.54,1315077.97,1310398.51
2028,53865.36,3262860.32,3890495.57,64410.54,1326637.38,1316543.14
2029,54728.85,3315074.2,3940789.41,65301.77,1345132.43,1334897.47
2030,55260.53,3347707.88,3962713.51,65843.11,1356691.84,1343621.23
2031,56107.8,3399921.76,4003256.99,66702.62,1375186.89,1359152.95
2032,,,4030270.41,,,1371235.41
2033,,,4050304.78,,,1380808.21
2034,,,4085759.17,,,1395305.93
2035,,,4092241.8,,,1399985.8
2036,,,4136814.43,,,1417109.47
