year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,10917.1506879,7096.14794713
2018,10909.0786482,7090.90112131
2019,10903.4112729,7087.21732741
2020,10896.437479,7082.68436135
2021,10888.5015524,7077.52600903
2022,10880.8685441,7072.56455364
2023,10872.5829936,7067.17894585
2024,10865.1047806,7062.31810738
2025,10857.7773595,7057.55528368
2026,10850.9276687,7053.10298463
2027,10843.7096718,7048.41128668
2028,10836.3742441,7043.64325866
2029,10835.6963475,7043.20262591
2030,10833.7160356,7041.91542314
2031,10829.9649191,7039.47719742
