year,Base case diesel consumed,Modeled non-residential ashp
2017,1185959.21758,990157.154347
2018,1180601.47651,984799.413277
2019,1175243.73544,979441.672207
2020,1169885.99437,974083.931138
2021,1161849.38277,966047.319533
2022,1156491.6417,960689.578463
2023,1148455.0301,952652.966859
2024,1143097.28903,947295.225789
2025,1137739.54796,941937.484719
2026,1129702.93635,933900.873114
2027,1124345.19528,928543.132044
2028,1118987.45421,923185.390975
2029,1118987.45421,923185.390975
2030,1116308.58368,920506.52044
2031,1113629.71314,917827.649905
