year,Base case diesel consumed,Modeled residential ashp
2017,181831.32281,51043.3331331
2018,181831.32281,51043.3331331
2019,181831.32281,51043.3331331
2020,179884.340912,49096.3512349
2021,177937.359014,47149.3693368
2022,177937.359014,47149.3693368
2023,175990.377116,45202.3874386
2024,174043.395218,43255.4055404
2025,174043.395218,43255.4055404
2026,172096.413319,41308.4236423
2027,170149.431421,39361.4417441
2028,168202.449523,37414.459846
2029,166255.467625,35467.4779478
2030,164308.485727,33520.4960497
2031,162361.503829,31573.5141515
