year,Base case cost,Modeled non-residential energy efficiency
2017,518024.827523,546448.030057
2018,544517.240291,569334.095601
2019,581264.780582,601868.506918
2020,598356.659787,616040.615629
2021,610320.97523,625454.049611
2022,618866.914833,631708.349887
2023,624849.072555,635602.807037
2024,629976.636316,638737.008745
2025,635958.794038,642710.565206
2026,643650.13968,648322.834529
2027,649632.297402,652371.825976
2028,654759.861164,655656.940085
2029,661596.612846,660578.145997
2030,665869.582647,663133.240342
2031,673560.928289,668923.328039
