year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.74
2004,,2.22,2.74
2005,,2.19,3.05
2008,,3.69,5.29
2009,,3.59,5.2
2010,,3.3,5.31
2011,,3.85,5.64
2012,,4.76,6.68
2013,,4.48,7.81
2014,,4.05,6.72
2016,start of forecast,2.21,4.41
2017,,2.63,4.83
2018,,2.94,5.14
2019,,3.37,5.57
2020,,3.57,5.77
2021,,3.71,5.91
2022,,3.81,6.01
2023,,3.88,6.08
2024,,3.94,6.14
2025,,4.01,6.21
2026,,4.1,6.3
2027,,4.17,6.37
2028,,4.23,6.43
2029,,4.31,6.51
2030,,4.36,6.56
2031,,4.45,6.65
2032,,4.54,6.74
2033,,4.63,6.83
2034,,4.72,6.92
2035,,4.78,6.98
2036,,4.88,7.08
2037,,4.94,7.14
2038,,5.03,7.23
2039,,5.1,7.3
2040,,5.21,7.41
