year,Base case diesel consumed,Modeled diesel efficiency
2019,53047.5093299,48225.0084818
2020,53610.9881847,48737.2619861
2021,54174.4670395,49249.5154905
2022,54576.9519358,49615.4108507
2023,55059.9338113,50054.485283
2024,55623.4126661,50566.7387874
2025,56267.3885002,51152.1713638
2026,56750.3703757,51591.2457961
2027,57313.8492305,52103.4993005
2028,57877.3280853,52615.7528048
2029,58440.8069401,53128.0063092
2030,58923.7888156,53567.0807415
2031,59567.7646497,54152.5133179
2032,60050.7465252,54591.5877502
2033,60614.22538,55103.8412546
2034,61177.7042348,55616.0947589
2035,61741.1830896,56128.3482633
2036,62304.6619444,56640.6017676
2037,63029.1347577,57299.2134161
2038,63753.607571,57957.8250646
