year,Base case cost,Modeled solar power (pv)
2016,113499.130812,119669.994382
2017,136762.757817,142459.457426
2018,154539.710716,159855.220409
2019,178770.106442,183620.885824
2020,191391.227819,195958.973028
2021,200987.272717,205322.570977
2022,207938.186875,212075.640058
2023,213632.543188,217598.601423
2024,219156.245905,222962.174123
2025,225632.227886,229274.582335
2026,232676.51854,236144.779627
2027,238998.751291,242311.094357
2028,244821.097801,247988.221537
2029,251879.877912,254891.246911
2030,256907.719236,259787.753867
2031,265076.552691,267800.910514
2032,272630.389225,275202.631786
2033,280643.86351,283067.477229
2034,288758.763988,291037.161795
2035,295122.855168,297279.376304
