year,Base case diesel consumed,Modeled transmission and interties
2021,54174.4670395,0.0
2022,54576.9519358,0.0
2023,55059.9338113,0.0
2024,55623.4126661,0.0
2025,56267.3885002,0.0
2026,56750.3703757,0.0
2027,57313.8492305,0.0
2028,57877.3280853,0.0
2029,58440.8069401,0.0
2030,58923.7888156,0.0
2031,59567.7646497,0.0
2032,60050.7465252,0.0
2033,60614.22538,0.0
2034,61177.7042348,0.0
2035,61741.1830896,0.0
2036,62304.6619444,0.0
2037,63029.1347577,0.0
2038,63753.607571,0.0
2039,64317.0864258,0.0
2040,65122.0562184,0.0
