year,Base case cost,Modeled diesel efficiency
2019,178770.106442,357379.339193
2020,191391.227819,364286.029792
2021,200987.272717,368549.691239
2022,207938.186875,370513.219997
2023,213632.543188,371436.505109
2024,219156.245905,372304.339695
2025,225632.227886,374135.235367
2026,232676.51854,376577.846246
2027,238998.751291,378456.88357
2028,244821.097801,379972.145564
2029,251879.877912,382699.979853
2030,256907.719236,383667.972691
2031,265076.552691,387575.852862
2032,272630.389225,391007.105856
2033,280643.86351,394936.739556
2034,288758.763988,399037.219764
2035,295122.855168,401622.852841
2036,304046.750289,406610.578163
2037,311363.925703,410210.889219
2038,320680.646082,415700.491864
