year,Base case diesel consumed,Modeled solar power (pv)
2016,51357.0727655,50580.5608605
2017,52001.0485996,51230.7487898
2018,52564.5274544,51800.3900431
2019,53047.5093299,52289.4850179
2020,53610.9881847,52859.0280672
2021,54174.4670395,53428.522603
2022,54576.9519358,53836.9750547
2023,55059.9338113,54325.8767453
2024,55623.4126661,54895.2280566
2025,56267.3885002,55545.0293676
2026,56750.3703757,56033.7901162
2027,57313.8492305,56603.001613
2028,57877.3280853,57172.1672488
2029,58440.8069401,57741.2873903
2030,58923.7888156,58229.8654222
2031,59567.7646497,58879.3926434
2032,60050.7465252,59367.881495
2033,60614.22538,59936.82327
2034,61177.7042348,60505.7213417
2035,61741.1830896,61074.5760596
