year,Base case diesel consumed,Cordova (lake 1878 elevation - fidalgo creek tributary),"Cordova (lake 1975 elevation - dead creek tributary) -- dead creek, lake 1975","Valdez (lowe river) -- lower river, keystone canyon",Valdez (mineral creek),Valdez (tsina river),Tasnuna river,Tiekel river,"Cleave creek -- copper river, cleave site",Nelchina river,Valdez (tonsina river),Tolsona creek,Kenney lake (tonsina river tributary),Chitina (liberty creek),"Glennallen (tazlina, cache creek)",Kenney lake (tonsina river tributary),Cordova (dead creek - gravina river tributary)
2021,2784490.16774,1925932.79707,2464830.59172,2356794.702,2300326.53633,0.0,2100807.52315,0.0,0.0,0.0,1977802.08676,0.0,2659566.6023,2775443.1986,2738878.36503,2430150.54338,0.0
2022,2767689.90714,1909132.53647,2448030.33113,2339994.4414,2283526.27573,0.0,2084007.26255,0.0,0.0,0.0,1961001.82616,0.0,2642766.3417,2758642.93801,2722078.10443,2413350.28279,0.0
2023,2747241.58995,1888684.21929,2427582.01394,2319546.12422,2263077.95855,0.0,2063558.94537,0.0,0.0,0.0,1940553.50898,0.0,2622318.02452,2738194.62082,2701629.78724,2392901.9656,0.0
2024,2725353.25043,1866795.87976,2405693.67442,2297657.7847,2241189.61903,0.0,2041670.60585,0.0,0.0,0.0,1918665.16946,0.0,2600429.685,2716306.2813,2679741.44772,2371013.62608,0.0
2025,2700584.86624,1842027.49557,2380925.29022,2272889.4005,2216421.23483,0.0,2016902.22165,0.0,0.0,0.0,1893896.78526,0.0,2575661.3008,2691537.8971,2654973.06353,2346245.24188,0.0
2026,2674952.46864,1816395.09797,2355292.89263,2247257.0029,2190788.83723,0.0,1991269.82405,0.0,0.0,0.0,1868264.38766,0.0,2550028.9032,2665905.49951,2629340.66593,2320612.84428,0.0
2027,2652584.12167,1794026.751,2332924.54566,2224888.65593,2168420.49027,0.0,1968901.47708,0.0,0.0,0.0,1845896.04069,0.0,2527660.55623,2643537.15254,2606972.31896,2298244.49732,0.0
2028,2629063.75683,1770506.38616,2309404.18082,2201368.2911,2144900.12543,0.0,1945381.11225,0.0,0.0,0.0,1822375.67586,0.0,2504140.1914,2620016.7877,2583451.95412,2274724.13248,0.0
2029,2590567.15969,1732009.78902,2270907.58368,2162871.69396,2106403.52829,0.0,1906884.51511,0.0,0.0,0.0,1783879.07872,0.0,2465643.59426,2581520.19056,2544955.35698,2236227.53534,0.0
2030,2552646.57149,1694089.20082,2232986.99547,2124951.10575,2068482.94008,0.0,1868963.9269,0.0,0.0,0.0,1745958.49051,0.0,2427723.00605,2543599.60235,2507034.76878,2198306.94713,0.0
2031,2518566.04284,1660008.67217,2198906.46683,2090870.57711,2034402.41144,0.0,1834883.39826,0.0,0.0,0.0,1711877.96187,0.0,2393642.47741,2509519.07371,2472954.24013,2164226.41849,0.0
2032,2498213.72715,1639656.35648,2178554.15114,2070518.26141,2014050.09574,0.0,1814531.08256,0.0,0.0,0.0,1691525.64617,0.0,2373290.16171,2489166.75802,2452601.92444,2143874.10279,0.0
2033,2478437.42039,1619880.04972,2158777.84437,2050741.95465,1994273.78898,0.0,1794754.7758,0.0,0.0,0.0,1671749.33941,0.0,2353513.85495,2469390.45125,2432825.61768,2124097.79603,0.0
2034,2458085.10469,1599527.73402,2138425.52868,2030389.63895,1973921.47329,0.0,1774402.46011,0.0,0.0,0.0,1651397.02371,0.0,2333161.53925,2449038.13556,2412473.30198,2103745.48034,0.0
2035,2436100.76368,1577543.39301,2116441.18767,2008405.29794,1951937.13228,0.0,1752418.11909,0.0,0.0,0.0,1629412.6827,0.0,2311177.19824,2427053.79455,2390488.96097,2081761.13933,0.0
2036,2408740.33928,1550182.96861,2089080.76326,1981044.87354,1924576.70787,0.0,1725057.69469,0.0,0.0,0.0,1602052.2583,0.0,2283816.77384,2399693.37015,2363128.53657,2054400.71492,0.0
2037,2377635.8568,1519078.48613,2057976.28079,1949940.39106,1893472.22539,0.0,1693953.21221,0.0,0.0,0.0,1570947.77582,0.0,2252712.29136,2368588.88767,2332024.05409,2023296.23245,0.0
2038,2351427.45027,1492870.0796,2031767.87425,1923731.98453,1867263.81886,0.0,1667744.80568,0.0,0.0,0.0,1544739.36929,0.0,2226503.88483,2342380.48113,2305815.64756,1997087.82591,0.0
2039,2329347.10777,1470789.7371,2009687.53175,1901651.64203,1845183.47636,0.0,1645664.46318,0.0,0.0,0.0,1522659.02679,0.0,2204423.54233,2320300.13863,2283735.30506,1975007.48341,0.0
2040,2308994.79207,1450437.4214,1989335.21606,1881299.32633,1824831.16067,0.0,1625312.14748,0.0,0.0,0.0,1502306.71109,0.0,2184071.22663,2299947.82294,2263382.98936,1954655.16772,0.0
2041,2288738.47786,1430181.10719,1969078.90185,1861043.01213,1804574.84646,0.0,1605055.83328,0.0,0.0,0.0,1482050.39689,0.0,2163814.91243,2279691.50873,2243126.67515,1934398.85351,0.0
2042,2267426.14728,1408868.77661,1947766.57126,1839730.68154,1783262.51587,0.0,1583743.50269,0.0,0.0,0.0,1460738.0663,0.0,2142502.58184,2258379.17814,2221814.34457,1913086.52292,0.0
