year,Base case cost,Modeled wind power
2019,7227936.36476,7069372.23975
2020,7721227.98192,7364803.17492
2021,8019331.68308,7523654.54387
2022,8247715.92328,7630202.28541
2023,8351614.43346,7646125.81994
2024,8448595.07634,7656035.50087
2025,8533848.17731,7655100.46596
2026,8666845.99839,7686304.37959
2027,8780053.44273,7706793.7981
2028,8859944.86053,7703023.33888
2029,8911551.02934,7663536.60326
2030,8908736.53448,7586881.21742
2031,8991280.77295,7571648.4346
2032,9118480.10409,7601818.52739
2033,9269355.95225,7648161.44034
2034,9414465.95097,7689451.64527
2035,9476431.97072,7672996.15754
2036,9586786.55033,7680907.47449
2037,9581872.5029,7607150.14174
2038,9687881.0951,7612028.23401
