year,annotation,Maximum expected generation hydro [kWh/year],Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation hydro [kWh/year],generation diesel [kWh/year]
2003,,60056617.0,436689.1,83308999.0,0.0,52811998.0,30497001.0
2004,,60056617.0,436689.1,83782003.0,0.0,51353001.0,32429002.0
2005,,60056617.0,436689.1,84087999.0,0.0,49426999.0,34661000.0
2006,,60056617.0,436689.1,86235001.0,0.0,54916999.0,31318002.0
2007,,60056617.0,436689.1,81908000.0,0.0,34556000.0,47352000.0
2008,,60056617.0,436689.1,79675000.0,0.0,47429000.0,32246000.0
2009,,60056617.0,436689.1,71566080.0,0.0,44988000.0,26578080.0
2010,,60056617.0,436689.1,84107000.0,0.0,44758000.0,39349000.0
2011,,60056617.0,436689.1,86159000.0,0.0,46189000.0,39970000.0
2012,,60056617.0,436689.1,90420000.0,0.0,44135000.0,46285000.0
2013,,60056617.0,436689.1,90426000.0,0.0,54750000.0,35676000.0
2014,,60056617.0,436689.1,87283000.0,0.0,54955000.0,32328000.0
2015,start of forecast,60056617.0,436689.1,89743000.0,24727.0,60056617.0,29661656.0
2016,,60056617.0,436689.1,89687000.0,24727.0,60056617.0,29605656.0
2017,,60056617.0,436689.1,89632000.0,24727.0,60056617.0,29550656.0
2018,,60056617.0,436689.1,89533000.0,24727.0,60056617.0,29451656.0
2019,,60056617.0,436689.1,89377000.0,24727.0,60056617.0,29295656.0
2020,,60056617.0,436689.1,89222000.0,24727.0,60056617.0,29140656.0
2021,,60056617.0,436689.1,89086000.0,24727.0,60056617.0,29004656.0
2022,,60056617.0,436689.1,88911000.0,24727.0,60056617.0,28829656.0
2023,,60056617.0,436689.1,88698000.0,24727.0,60056617.0,28616656.0
2024,,60056617.0,436689.1,88470000.0,24727.0,60056617.0,28388656.0
2025,,60056617.0,436689.1,88212000.0,24727.0,60056617.0,28130656.0
2026,,60056617.0,436689.1,87945000.0,24727.0,60056617.0,27863656.0
2027,,60056617.0,436689.1,87712000.0,24727.0,60056617.0,27630656.0
2028,,60056617.0,436689.1,87467000.0,24727.0,60056617.0,27385656.0
2029,,60056617.0,436689.1,87066000.0,24727.0,60056617.0,26984656.0
2030,,60056617.0,436689.1,86671000.0,24727.0,60056617.0,26589656.0
2031,,60056617.0,436689.1,86316000.0,24727.0,60056617.0,26234656.0
2032,,60056617.0,436689.1,86104000.0,24727.0,60056617.0,26022656.0
2033,,60056617.0,436689.1,85898000.0,24727.0,60056617.0,25816656.0
2034,,60056617.0,436689.1,85686000.0,24727.0,60056617.0,25604656.0
2035,,60056617.0,436689.1,85457000.0,24727.0,60056617.0,25375656.0
2036,,60056617.0,436689.1,85172000.0,24727.0,60056617.0,25090656.0
2037,,60056617.0,436689.1,84848000.0,24727.0,60056617.0,24766656.0
2038,,60056617.0,436689.1,84575000.0,24727.0,60056617.0,24493656.0
2039,,60056617.0,436689.1,84345000.0,24727.0,60056617.0,24263656.0
2040,,60056617.0,436689.1,84133000.0,24727.0,60056617.0,24051656.0
