year,Base case cost,Cordova (lake 1878 elevation - fidalgo creek tributary),"Cordova (lake 1975 elevation - dead creek tributary) -- dead creek, lake 1975","Valdez (lowe river) -- lower river, keystone canyon",Valdez (mineral creek),Valdez (tsina river),Tasnuna river,Tiekel river,"Cleave creek -- copper river, cleave site",Nelchina river,Valdez (tonsina river),Tolsona creek,Kenney lake (tonsina river tributary),Chitina (liberty creek),"Glennallen (tazlina, cache creek)",Kenney lake (tonsina river tributary),Cordova (dead creek - gravina river tributary)
2021,8019331.68308,10181847.7265,9356086.73725,8435021.19239,8779892.52503,28776249.0344,11114063.7759,97754274.2376,2024632678.19,109358724.034,11887047.5152,26334469.8779,8581418.97961,8529107.11693,8135560.33152,8482035.83597,13367018.6498
2022,8247715.92328,10223016.2488,9504230.48814,8583254.877,8911796.6533,28115936.5692,11166159.5206,95720967.5712,1983678131.35,107023153.097,11903141.3674,25723288.7332,8777658.63743,8745866.82371,8353971.92161,8641671.63086,13014308.7485
2023,8351614.43346,10177690.1624,9542280.36715,8625621.02076,8940426.0838,27462903.8843,11124660.0919,93728382.4087,1943833143.77,104750854.675,11831298.1758,25118078.1395,8855055.36292,8838767.34167,8449916.72537,8692301.55862,12661197.8738
2024,8448595.07634,10127688.7669,9574488.4821,8661886.32949,8963194.09792,26816551.0433,11078651.2691,91773825.7159,1904907501.41,102522562.909,11755476.9834,24518432.4491,8925972.76464,8924994.53444,8539063.40924,8736744.18802,12307755.0267
2025,8533848.17731,10068149.828,9596019.93731,8687221.97948,8975266.2606,26171749.6766,11023266.929,89851434.3932,1866874685.4,100332274.584,11670799.2128,23919249.4239,8985590.88967,8999732.99599,8616599.49205,8770172.72182,11949016.1763
2026,8666845.99839,10040646.9082,9659677.40032,8752190.75814,9026026.04014,25528740.0892,11003712.0675,87960060.86,1829630191.52,98170490.6143,11619900.7059,23320878.653,9090775.09792,9122261.32613,8741046.33381,8844676.82034,11585632.444
2027,8780053.44273,10004365.8424,9707869.16802,8802575.46776,9063011.64624,24908064.345,10973715.9649,86120552.0381,1793299944.96,96070246.313,11560334.3522,22743761.4734,9177875.78723,9225321.05967,8846288.4029,8903753.87761,11237927.1281
2028,8859944.86053,9945732.03035,9727046.10153,8824832.62444,9072674.36899,24295899.9847,10919700.3994,84318401.1934,1757850201.68,94016904.4544,11478510.3309,22174099.7627,9233357.73532,9295381.20894,8918797.43567,8933862.29703,10892230.8225
2029,8911551.02934,9851881.07557,9715571.07556,8815084.81549,9049957.85299,23638067.2048,10832432.6686,82498089.9177,1723123472.09,91946604.522,11362627.6207,21557821.2487,9259645.50702,9337279.27374,8962653.49593,8932651.40293,10494763.5173
2030,8908736.53448,9723401.93677,9657253.72072,8760515.77933,8983801.61151,22996528.6203,10707045.4312,80721933.7962,1689288502.64,89933859.6667,11211643.3056,20956786.1087,9234489.85542,9325156.84632,8953140.91798,8885019.39272,10107258.3006
2031,8991280.77295,9655409.99621,9675239.14804,8778661.36886,8988802.03246,22363485.391,10647738.7734,78979820.8079,1656109303.79,87947899.6534,11123354.1912,20363427.5798,9291169.10125,9398318.18999,9027666.26165,8912316.11177,9722684.68861
2032,9118480.10409,9633928.14917,9738769.79985,8842137.8844,9039331.4219,21786345.0185,10635079.4508,77319541.6546,1623740946.97,86048718.5144,11082151.9704,19825049.6504,9392866.19449,9516336.90684,9146945.75073,8984872.23602,9388213.89439
2033,9269355.95225,9629010.65726,9823523.75558,8925505.52315,9109358.41573,21214404.9397,10640936.1235,75689450.8227,1592073107.9,84180447.4974,11058616.5055,19291013.2558,9517295.62501,9658135.64769,9289524.4074,9078012.08593,9053404.45902
2034,9414465.95097,9620096.38297,9903360.75792,9003751.8375,9174452.95324,20647425.7177,10642926.8977,74089050.561,1561130195.96,82346583.0087,11031634.3377,18761058.1847,9636305.15605,9794361.44888,9426431.67872,9165962.40387,8718024.53091
2035,9476431.97072,9556536.78944,9910850.22712,9012819.75252,9172314.29157,20096158.8997,10584947.3227,72529518.3467,1531031870.64,80570514.0046,10948926.678,18245830.9513,9676403.8465,9847913.75697,9481709.46284,9182380.37271,8392579.81126
2036,9586786.55033,9516281.81338,9957570.38027,9057554.73333,9204262.05552,19515129.3354,10555850.0317,70962801.9316,1501464613.33,78779436.2755,10891665.5918,17700127.831,9761325.72359,9949756.50049,9584043.65304,9236687.7004,8032472.72975
2037,9581872.5029,9398100.52318,9903102.43041,9005402.89558,9141846.57632,18946662.6164,10441677.8602,69433020.42,1472748149.47,77046114.8756,10754834.0136,17166000.897,9736494.89358,9936886.40817,9573093.51503,9190994.8985,7679276.37169
2038,9687881.0951,9356756.08743,9947039.25794,9046978.34124,9170982.47658,18381032.9618,10411732.0425,67927226.7772,1444521617.8,75324641.132,10697496.063,16634078.627,9817707.61363,10034738.2758,9671255.60885,9242017.13344,7324387.00075
2039,9759964.38154,9300904.96374,9964449.71496,9064091.70834,9176997.886,17849925.9561,10363760.5544,66478590.5432,1417052922.27,73672728.0836,10625061.7537,16135814.0585,9867899.15773,10099024.2409,9736524.45903,9266991.81542,6998857.12714
