year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9375.40073539,6094.010478
2018,9375.53212455,6094.09588096
2019,9375.74446096,6094.23389963
2020,9375.93819526,6094.35982692
2021,9376.09110897,6094.45922083
2022,9376.30754212,6094.59990237
2023,9376.48045911,6094.71229842
2024,9376.66778808,6094.83406225
2025,9376.83252495,6094.94114122
2026,9377.01641106,6095.06066719
2027,9377.15216384,6095.1489065
2028,9377.26172153,6095.22011899
2029,9377.77398713,6095.55309163
2030,9378.12704045,6095.78257629
2031,9378.34595566,6095.92487118
