year,Base case cost,Modeled non-residential energy efficiency
2017,119305.105314,129405.555692
2018,127933.340827,136904.94006
2019,140396.347679,147961.183542
2020,146148.504687,152823.490305
2021,150302.840304,156219.134947
2022,153498.483087,158738.808296
2023,155735.433034,160382.265667
2024,157333.254426,161444.738744
2025,159570.204373,163107.876984
2026,162126.718599,165075.981798
2027,164363.668547,166757.889208
2028,165961.489938,167857.911153
2029,168518.004164,169853.188934
2030,170115.825556,170970.691027
2031,172672.339782,172983.039256
