year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,7598.83700968,4939.24405629
2018,7588.8255536,4932.73660984
2019,7579.65643154,4926.7766805
2020,7564.24871074,4916.76166198
2021,7555.49509573,4911.07181223
2022,7545.72535289,4904.72147938
2023,7538.16032779,4899.80421306
2024,7530.74246143,4894.98259993
2025,7523.13814959,4890.03979724
2026,7512.18913913,4882.92294044
2027,7504.21526573,4877.73992273
2028,7496.25803925,4872.56772551
2029,7488.50523692,4867.528404
2030,7480.82235163,4862.53452856
2031,7473.33723173,4857.66920062
