year,Base case cost,Modeled diesel efficiency
2019,84533.0608649,228513.811024
2020,89807.97762,229754.528
2021,93300.510083,229458.208014
2022,96368.0253679,228856.868533
2023,98120.1712837,227139.191596
2024,99956.3126892,225575.464886
2025,101714.338289,224016.496004
2026,104322.398245,223304.281899
2027,106086.30353,221896.91641
2028,107598.222345,220331.040673
2029,109979.494479,219624.400505
2030,111243.626599,217969.477741
2031,113896.204165,217642.49998
2032,116179.201576,217043.721785
2033,118854.457924,216864.219909
2034,121399.521263,216627.569033
2035,122926.559266,215525.214272
2036,125630.37408,215551.029371
2037,127162.451813,214568.6336
2038,130142.611789,214958.344826
