year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,71787.0,62957.0247872
2018,71777.0,62947.0247872
2019,72885.0,64055.0247872
2020,73986.0,65156.0247872
2021,73977.0,65147.0247872
2022,75085.0,66255.0247872
2023,75077.0,66247.0247872
2024,76187.0,67357.0247872
2025,76179.0,67349.0247872
2026,77285.0,68455.0247872
2027,77277.0,68447.0247872
2028,77269.0,68439.0247872
2029,78379.0,69549.0247872
2030,78371.0,69541.0247872
2031,79480.0,70650.0247872
2032,79473.0,70643.0247872
2033,80579.0,71749.0247872
2034,80570.0,71740.0247872
2035,81680.0,72850.0247872
2036,81667.0,72837.0247872
