year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2003,,1.67,
2006,,2.96,5.65
2008,,3.87,6.65
2009,,5.22,6.65
2010,,4.23,6.65
2011,,3.84,6.65
2012,,4.36,7.55
2014,,,7.8
2016,,2.23,4.43
2017,,2.65,4.85
2018,,2.97,5.17
2019,,3.4,5.6
2020,,3.6,5.8
2021,,3.74,5.94
2022,,3.85,6.05
2023,,3.92,6.12
2024,,3.98,6.18
2025,,4.05,6.25
2026,,4.14,6.34
2027,,4.21,6.41
2028,,4.27,6.47
2029,,4.35,6.55
2030,,4.4,6.6
2031,,4.49,6.69
2032,,4.58,6.78
2033,,4.67,6.87
2034,,4.77,6.97
2035,,4.83,7.03
2036,,4.92,7.12
2037,,4.98,7.18
2038,,5.08,7.28
2039,,5.15,7.35
2040,,5.26,7.46
