year,Base case diesel consumed,Crooked creek (getmuna creek tributary)
2021,24946.66045,0.0
2022,25030.6559397,83.9954897306
2023,25030.6559397,83.9954897306
2024,25114.6514295,167.990979461
2025,25114.6514295,167.990979461
2026,25198.6469192,251.986469192
2027,25198.6469192,251.986469192
2028,25198.6469192,251.986469192
2029,25282.6424089,335.981958922
2030,25282.6424089,335.981958922
2031,25366.6378986,419.977448653
2032,25366.6378986,419.977448653
2033,25450.6333884,503.972938384
2034,25450.6333884,503.972938384
2035,25450.6333884,503.972938384
2036,25534.6288781,587.968428114
2037,25534.6288781,587.968428114
2038,25618.6243678,671.963917845
2039,25618.6243678,671.963917845
2040,25702.6198576,755.959407575
2041,25702.6198576,755.959407575
2042,25786.6153473,839.954897306
2043,25786.6153473,839.954897306
2044,25870.610837,923.950387037
2045,25870.610837,923.950387037
2046,25954.6063268,1007.94587677
2047,26038.6018165,1091.9413665
2048,26038.6018165,1091.9413665
2049,26122.5973062,1175.93685623
2050,26122.5973062,1175.93685623
2051,26122.5973062,1175.93685623
2052,26122.5973062,1175.93685623
2053,26122.5973062,1175.93685623
2054,26122.5973062,1175.93685623
2055,26122.5973062,1175.93685623
2056,26122.5973062,1175.93685623
2057,26122.5973062,1175.93685623
2058,26122.5973062,1175.93685623
2059,26122.5973062,1175.93685623
2060,26122.5973062,1175.93685623
2061,26122.5973062,1175.93685623
2062,26122.5973062,1175.93685623
2063,26122.5973062,1175.93685623
2064,26122.5973062,1175.93685623
2065,26122.5973062,1175.93685623
2066,26122.5973062,1175.93685623
2067,26122.5973062,1175.93685623
2068,26122.5973062,1175.93685623
2069,26122.5973062,1175.93685623
2070,26122.5973062,1175.93685623
