year,Base case cost,Crooked creek (getmuna creek tributary)
2021,93300.510083,1164724.02155
2022,96368.0253679,1142649.34409
2023,98120.1712837,1120737.45057
2024,99956.3126892,1099662.7389
2025,101714.338289,1078775.9516
2026,104322.398245,1058755.90592
2027,106086.30353,1038847.00833
2028,107598.222345,1019392.64129
2029,109979.494479,1000790.56128
2030,111243.626599,982231.192909
2031,113896.204165,964546.926092
2032,116179.201576,946919.619827
2033,118854.457924,930101.116246
2034,121399.521263,913321.670246
2035,122926.559266,896871.56732
2036,125630.37408,881273.586607
2037,127162.451813,865595.304268
2038,130142.611789,850784.947727
2039,131935.915494,835861.620142
2040,135195.780451,821807.558517
2041,135195.780451,807451.022926
2042,135637.596727,793872.784914
2043,135637.596727,780181.325519
2044,136079.413003,767252.576072
2045,136079.413003,754195.383002
2046,136521.229279,741886.034162
2047,136963.045555,729875.540801
2048,136963.045555,717715.082068
2049,137404.861831,706281.450402
2050,137404.861831,694684.333282
2051,137404.861831,683359.023609
2052,137404.861831,672299.150836
2053,137404.861831,661498.49392
2054,137404.861831,650950.977329
2055,137404.861831,640650.668164
2056,137404.861831,630591.772501
2057,137404.861831,620768.632174
2058,137404.861831,611175.721788
2059,137404.861831,601807.645168
2060,137404.861831,592659.132813
2061,137404.861831,583725.03879
2062,137404.861831,575000.337525
2063,137404.861831,566480.121468
2064,137404.861831,558159.597999
2065,137404.861831,550034.086872
2066,137404.861831,542099.017224
2067,137404.861831,534349.925917
2068,137404.861831,526782.453875
2069,137404.861831,519392.344536
2070,137404.861831,512175.440858
