year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,57820.0,42752.8291767
2018,57820.0,42752.8291767
2019,57820.0,42752.8291767
2020,57820.0,42752.8291767
2021,57820.0,42752.8291767
2022,57820.0,42752.8291767
2023,57820.0,42752.8291767
2024,57820.0,42752.8291767
2025,57820.0,42752.8291767
2026,57820.0,42752.8291767
2027,57820.0,42752.8291767
2028,57820.0,42752.8291767
2029,57820.0,42752.8291767
2030,57820.0,42752.8291767
2031,57820.0,42752.8291767
2032,,
2033,,
2034,,
2035,,
2036,,
