year,Base case cost,Modeled biomass for heat (pellet)
2017,166669.643207,194362.07602
2018,182281.043207,205009.071735
2019,203674.443207,219792.15025
2020,214660.243207,227162.131313
2021,221598.643207,231655.824693
2022,227380.643207,235335.279581
2023,230849.843207,237375.323338
2024,234319.043207,239425.555914
2025,237788.243207,241485.738509
2026,242413.843207,244380.56016
2027,246461.243207,246872.409769
2028,249930.443207,248961.064936
2029,253977.843207,251471.230711
2030,256868.843207,253165.311639
2031,261494.443207,256105.406193
2032,,
2033,,
2034,,
2035,,
2036,,
