year,Base case cost,Modeled biomass for heat (cordwood)
2017,166669.643207,222761.265869
2018,182281.043207,233204.328649
2019,203674.443207,247948.46031
2020,214660.243207,255022.264323
2021,221598.643207,259127.961707
2022,227380.643207,262402.617554
2023,230849.843207,263990.612433
2024,234319.043207,265601.509849
2025,237788.243207,267234.773021
2026,242413.843207,269744.934333
2027,246461.243207,271848.897007
2028,249930.443207,273546.161127
2029,253977.843207,275691.295071
2030,256868.843207,277001.23722
2031,261494.443207,279613.163441
2032,,
2033,,
2034,,
2035,,
2036,,
